GPE,Latitude,Longitude,group_ID,sum
Ottawa,45.4215296,-75.6971931,182,1
Venice,45.4408474,12.3155151,183,1
Piazza Duomo,45.4641941,9.189698,184,1
Portland,45.515232,-122.6783853,185,1
Lyon,45.764043,4.835659,186,1
France,46.227638,2.213749,187,2
France,46.227638,2.213749,187,2
Soll(S,46.3598939,11.241014,188,1
Quebec,46.8130816,-71.2074596,189,1
Thal.,47.078596,15.3552061,190,1
Hungary,47.162494,19.503304,191,1
Kazakh,48.019573,66.923684,192,1
Marysville,48.0517637,-122.1770818,193,1
Vienna,48.2081743,16.3738189,194,1
Ukraine,48.379433,31.16558,195,1
West Victoria,48.433684,-123.38718,196,1
Paris,48.856614,2.3522219,197,1
Jersey,49.2137711,-2.1357662,198,1
Vancouver,49.2827291,-123.1207375,199,1
Rothenburg,49.3801834,10.1867388,200,1
Guernsey,49.4481982,-2.58949,201,1
Winnipeg,49.8954221,-97.1385145,202,1
Dart­ Moor,50.5718857,-3.9206884,203,1
Lille,50.62925,3.057256,204,1
Germany,51.165691,10.451526,205,1
Penshurst,51.1727246,0.1824358,206,1
Blackheath,51.4658393,0.0090338,207,1
Mortlake,51.4687363,-0.2627417,208,1
London,51.5072178,-0.1275862,209,1
Euston,51.5280991,-0.1332084,210,1
South Wales,51.6858341,-3.3821421,211,1
Olmln L400,51.8670254,5.8721896,212,1
Ipswich,52.056736,1.14822,213,1
B.Barry 2,52.1277623,-8.2895635,214,1
Holland,52.132633,5.291266,215,1
Dennington,52.253926,1.3393709,216,1
Warwick,52.282316,-1.584927,217,1
England,52.3555177,-1.1743197,218,1
Birmingham,52.486243,-1.890401,219,1
Peterborough,52.5703169,-0.2407997,220,1
Derby,52.9225301,-1.4746186,221,1
Jubilee Park,53.1557403,-0.2215658,222,1
Sheffield,53.381129,-1.470085,223,1
Newfoundland,53.49436392,-60.22052574,224,1
Heywood,53.592628,-2.22565,225,1
B.Jenkinson,53.6924621,-1.6311384,226,1
Belarus,53.709807,27.953389,227,1
Manitoba,53.7608608,-98.8138763,228,1
Yorkshire,53.9590858,-1.0792403,229,1
York,53.9614205,-1.0739108,230,1
Whitehaven,54.549699,-3.589233,231,1
Coleraine,55.1325802,-6.6646102,232,1
Britain,55.378051,-3.435973,233,1
Moscow,55.755826,37.6173,234,1
Canada,56.130366,-106.346771,235,1
Scotland,56.4906712,-4.2026458,236,1
Glencoe,56.6825599,-5.1022713,237,1
Kodiak,57.79,-152.4072222,238,1
Stockholm,59.3293235,18.0685808,239,1
Bergen,60.3912628,5.3220544,240,1
Norway,60.472024,8.468946,241,1
Russia,61.52401,105.318756,242,1
