news_url,outlet,outlet_latitude,outlet_longitude,gpe,gpe_latitude,gpe_longitude,gpe_county,gpe_occurrences,group_ID,gpe_new,gpe_sum,Quadrant
https://6abc.com/800000-californians-may-have-power-cut-to-help-prevent-wildfires/5603495/,6abc.com,41.1288481,-74.6868815,Yuba,39.2547027,-121.3998995,Yuba County,1,687,Yuba,1,Quadrant 1
https://6abc.com/former-mcdonalds-manager-speaks-out-after-throwing-a-blender-at-customer/5646500/,6abc.com,41.1288481,-74.6868815,Colerain Township,39.2591765,-84.6269824,Hamilton County,1,689,Colerain Township,1,Quadrant 1
https://6abc.com/chicago-road-rage-fight-caught-on-camera-under-investigation/5575481/,6abc.com,41.1288481,-74.6868815,I-57,39.2714461,-88.4688325,,1,694,I-57,1,Quadrant 1
https://6abc.com/weather/superstorm-sandy-from-uncertain-path-to-devastating-impact/1059545/,6abc.com,41.1288481,-74.6868815,Gandys Beach,39.2720587,-75.23491179999999,Cumberland County,1,695,Gandys Beach,1,Quadrant 1
https://6abc.com/800000-californians-may-have-power-cut-to-help-prevent-wildfires/5603495/,6abc.com,41.1288481,-74.6868815,Mendocino,39.3076744,-123.7994591,Mendocino County,1,698,Mendocino,1,Quadrant 1
https://6abc.com/home/philadelphia-drops-in-ranking-in-list-of-top-bed-bug-cities/5844366/,6abc.com,41.1288481,-74.6868815,Flint,43.0125274,-83.6874562,Genesee County,1,1404,Flint,1,Quadrant 1
https://6abc.com/health/local-nursing-homes-cited-for-infection-control-before-covid-19/6046835/,6abc.com,41.1288481,-74.6868815,Spring Hills,39.83615289999999,-86.1935996,Marion County,1,799,Spring Hills,1,Quadrant 1
https://6abc.com/police-woman-spiked-bean-dip-with-meth-gave-it-to-co-worker-/5573935/,6abc.com,41.1288481,-74.6868815,Marion County,39.83618999999999,-86.17517590000001,Marion County,1,800,Marion County,1,Quadrant 1
https://6abc.com/localish/land-of-make-believe-helps-residents-escape-from-struggles-of-pandemic-/6371019/,6abc.com,41.1288481,-74.6868815,Uptown,41.9665404,-87.6533404,Cook County,1,1328,Uptown,1,Quadrant 1
https://6abc.com/fmr-starbucks-regional-director-sues-company-claims-racial-discrimination/5661173/,6abc.com,41.1288481,-74.6868815,Woolwich,39.737154,-75.30962889999999,Gloucester County,1,761,Woolwich,1,Quadrant 1
https://6abc.com/cat-found-in-dumpster-shot-in-the-head-with-bb-gun-officials/5577600/,6abc.com,41.1288481,-74.6868815,Cedarville,39.74422680000001,-83.80853719999999,Greene County,1,764,Cedarville,1,Quadrant 1
https://6abc.com/community-events/6abcs-end-racism-now-resource-page/6320463/,6abc.com,41.1288481,-74.6868815,Long Lane,39.7474387,-75.31122119999999,Gloucester County,1,765,Long Lane,1,Quadrant 1
https://6abc.com/health/search-database-of-covid-19-numbers-at-pa-nursing-homes/6199440/,6abc.com,41.1288481,-74.6868815,Neshaminy Manor,40.2674502,-75.133845,Bucks County,1,1044,Neshaminy Manor,1,Quadrant 1
https://6abc.com/sports/college-football-power-rankings-for-week-5/5576386/,6abc.com,41.1288481,-74.6868815,State(5,43.0691533,-94.2336006,Kossuth County,1,1411,State(5,1,Quadrant 1
https://6abc.com/community-events/air-force-vet-receives-surprise-home-makeover-for-christmas/8798527/,6abc.com,41.1288481,-74.6868815,Palmyra,43.06395209999999,-77.2333154,Wayne County,1,1410,Palmyra,1,Quadrant 1
https://6abc.com/health/art-of-aging-91-year-old-woman-says-exercise-pays-off/5323156/,6abc.com,41.1288481,-74.6868815,Darby Township,39.7609062,-83.1863358,Pickaway County,1,771,Darby Township,1,Quadrant 1
https://6abc.com/health/nj-flooring-store-giving-away-carpet-tubes-for-safe-trick-or-treating/6886205/,6abc.com,41.1288481,-74.6868815,Ocean Township,40.2645806,-74.0420699,Monmouth County,1,1042,Ocean Township,1,Quadrant 1
https://6abc.com/community-events/easter-meals-for-elderly-and-disabled-in-gloucester-county/5263110/,6abc.com,41.1288481,-74.6868815,Turnersville,39.7728846,-75.05185829999999,Gloucester County,1,775,Turnersville,1,Quadrant 1
https://6abc.com/doctor-charged-with-performing-hysterectomies-without-consent-federal-investigators/5689141/,6abc.com,41.1288481,-74.6868815,Portsmouth,43.0717552,-70.7625532,Rockingham County,1,1412,Portsmouth,1,Quadrant 1
https://6abc.com/business/philly-culinary-couple-helping-to-feed-needy/6369352/,6abc.com,41.1288481,-74.6868815,Casa Mexico,46.8614706,-96.8676284,Cass County,1,1512,Casa Mexico,1,Quadrant 1
https://6abc.com/education/students-in-bristol-return-to-school-for-in-person-instruction-/6997517/,6abc.com,41.1288481,-74.6868815,Bristol Borough,40.1006661,-74.8518311,Bucks County,1,985,Bristol Borough,1,Quadrant 1
https://6abc.com/localish/clayton-valley-pumpkin-farm-is-the-go-to-spot-for-pumpkins-/5635879/,6abc.com,41.1288481,-74.6868815,Osteens,29.8916628,-81.30067679999999,St. Johns County,1,184,Osteens,1,Quadrant 1
https://6abc.com/sports/fall-sports-canceled-at-west-chester-university-17-others/6318700/,6abc.com,41.1288481,-74.6868815,Lock Haven,41.1370133,-77.4469263,Clinton County,1,1248,Lock Haven,1,Quadrant 1
https://6abc.com/food/a-vacation-for-your-senses-in-fyi-philly/6370467/,6abc.com,41.1288481,-74.6868815,Pitman,39.732892,-75.1315651,Gloucester County,1,760,Pitman,1,Quadrant 1
https://6abc.com/im-about-to-blow-his-brains-out-fletcher-cox-911-call-released/5646680/,6abc.com,41.1288481,-74.6868815,Harrison Township,39.72964930000001,-75.207737,Gloucester County,1,757,Harrison Township,1,Quadrant 1
https://6abc.com/record-snowfall-hits-parts-of-midwest-as-storm-strikes-east-coast-bringing-outages/5663813/,6abc.com,41.1288481,-74.6868815,Madison,43.0721661,-89.4007501,Dane County,1,1413,Madison,1,Quadrant 1
https://6abc.com/health/healing-nature-of-bryn-mawrs-horticultural-therapy-center/5608701/,6abc.com,41.1288481,-74.6868815,Willstown,39.6862263,-74.99516799999999,Gloucester County,1,751,Willstown,1,Quadrant 1
https://6abc.com/sports/philadelphia-eagles-fan-attends-300th-straight-home-game/5668481/,6abc.com,41.1288481,-74.6868815,Chichester,39.8404739,-75.436303,Delaware County,1,801,Chichester,1,Quadrant 1
https://6abc.com/22-alleged-gang-members-charged-with-drug-trafficking-firearms-offenses-officials-say-/5660300/,6abc.com,41.1288481,-74.6868815,Chester City Police,39.849557,-75.3557457,Delaware County,1,804,Chester City Police,1,Quadrant 1
https://6abc.com/politics/at-west-point-trump-stresses-unity-nations-core-values/6246177/,6abc.com,41.1288481,-74.6868815,St. John,43.001143,-84.55915209999999,Clinton County,1,1402,St. John,1,Quadrant 1
https://6abc.com/man-caught-on-video-placing-anti-semitic-fliers-on-cars/5637899/,6abc.com,41.1288481,-74.6868815,Evesham Township,39.8522951,-74.88579890000001,Burlington County,1,806,Evesham Township,1,Quadrant 1
https://6abc.com/health/health-experts-urge-people-to-get-flu-shots-/5571538/,6abc.com,41.1288481,-74.6868815,Woodland Township,39.8537339,-74.5228916,Burlington County,1,808,Woodland Township,1,Quadrant 1
https://6abc.com/careers/troubleshooters-woes-continue-for-those-applying-for-unemployment/6202120/,6abc.com,41.1288481,-74.6868815,Bridgewater,41.9903519,-70.9750541,Plymouth County,1,1330,Bridgewater,1,Quadrant 1
https://6abc.com/health/rite-aid-expands-testing-to-include-asymptomatic-patients/6163287/,6abc.com,41.1288481,-74.6868815,Rd York,39.863189,-76.6879991,York County,1,812,Rd York,1,Quadrant 1
https://6abc.com/food/chicken-wings-test-positive-for-covid-19-experts-say-food-transmission-low/6370573/,6abc.com,41.1288481,-74.6868815,Anhui,31.8615699,117.28565,,1,247,Anhui,1,Quadrant 1
https://6abc.com/secret-service-warns-of-new-fake-$100-bills/5745431/,6abc.com,41.1288481,-74.6868815,Kennett Township,39.8339248,-75.6789905,Chester County,1,798,Kennett Township,1,Quadrant 1
https://6abc.com/politics/president-trump-says-uae-to-open-diplomatic-ties-with-israel/6368792/,6abc.com,41.1288481,-74.6868815,Gaza,43.0202555,-95.5800079,O'Brien County,1,1407,Gaza,1,Quadrant 1
https://6abc.com/automotive/ducis-rodgers-and-karen-rogers-host-the-auto-experience-2019/5450444/,6abc.com,41.1288481,-74.6868815,Mantua Blvd,39.7760124,-75.1511327,Gloucester County,1,776,Mantua Blvd,1,Quadrant 1
https://6abc.com/community-events/miracle-on-s-13th-street-other-displays-bring-joy-to-communities/8702542/,6abc.com,41.1288481,-74.6868815,Vail,39.6433243,-106.3780801,Eagle County,1,745,Vail,1,Quadrant 1
https://6abc.com/thousands-in-california-brace-for-another-planned-blackout-as-high-winds-persist/5641483/,6abc.com,41.1288481,-74.6868815,Glenn County,39.6437813,-122.4467238,Glenn County,1,746,Glenn County,1,Quadrant 1
https://6abc.com/sports/the-record-breaking-hard-to-believe-stats-from-a-wild-september/5578359/,6abc.com,41.1288481,-74.6868815,Wvu,39.6480359,-79.9697147,Monongalia County,1,747,Wvu,1,Quadrant 1
https://6abc.com/skydiver-killed-after-veering-off-course-slamming-into-big-rig/5573409/,6abc.com,41.1288481,-74.6868815,Monroe Twp,39.6747922,-74.9910112,Gloucester County,1,749,Monroe Twp,1,Quadrant 1
https://6abc.com/a-rare-fire-tornado-is-spotted-near-a-blaze-in-calif/6373128/,6abc.com,41.1288481,-74.6868815,Loyalton,39.67629360000001,-120.2410385,Sierra County,1,750,Loyalton,1,Quadrant 1
https://6abc.com/weather/snow-emergencies-closings-in-philadelphia-area/8796544/,6abc.com,41.1288481,-74.6868815,Hatfield Township,40.279743,-75.2770721,Montgomery County,1,1051,Hatfield Township,1,Quadrant 1
https://6abc.com/dangerous-record-breaking-heat-closes-schools/5581601/,6abc.com,41.1288481,-74.6868815,Huntington,40.8831011,-85.49747599999999,Huntington County,1,1219,Huntington,1,Quadrant 1
https://6abc.com/weather/remains-of-hurricane-zeta-to-bring-soaking-rain-to-philly-area/7417355/,6abc.com,41.1288481,-74.6868815,Cocodrie,29.246893,-90.661477,Terrebonne Parish,1,165,Cocodrie,1,Quadrant 1
https://6abc.com/famed-jewel-thief-surf-champ-murf-the-surf-dies/6425456/,6abc.com,41.1288481,-74.6868815,Daytona,29.2108147,-81.0228331,Volusia County,1,164,Daytona,1,Quadrant 1
https://6abc.com/sports/2020-mlb-arbitration-tracker-follow-along-at-jan-10-deadline/5834118/,6abc.com,41.1288481,-74.6868815,Duvall($3.25,47.7423218,-121.9856781,King County,1,1529,Duvall($3.25,1,Quadrant 1
https://6abc.com/traffic/penndot-to-begin-enforcing-work-zone-speed-cameras/5984261/,6abc.com,41.1288481,-74.6868815,I-476,40.6705716,-75.5968716,,1,1165,I-476,1,Quadrant 1
https://6abc.com/entertainment/alex-trebek-hanging-in-there-during-new-round-of-chemo/5594777/,6abc.com,41.1288481,-74.6868815,Ontario,34.0633443,-117.6508876,San Bernardino County,1,364,Ontario,1,Quadrant 1
https://6abc.com/fashion/golden-globes-red-carpet-fashion-2019-see-what-the-stars-wore/5025546/,6abc.com,41.1288481,-74.6868815,Beverly Hills,34.0736204,-118.4003563,Los Angeles County,1,365,Beverly Hills,1,Quadrant 1
https://6abc.com/sports/michigan-penn-st-preview/5628956/,6abc.com,41.1288481,-74.6868815,Iowa City,41.6578257,-91.5346169,Johnson County,1,1303,Iowa City,1,Quadrant 1
https://6abc.com/business/ps5-craze-videos-show-black-friday-crowds-shoppers-tumbling/8330063/,6abc.com,41.1288481,-74.6868815,Irvine,33.6845673,-117.8265049,Orange County,1,322,Irvine,1,Quadrant 1
https://6abc.com/man-robbed-left-unconscious-by-women-met-at-la-restaurant-police/5924097/,6abc.com,41.1288481,-74.6868815,West Hollywood,34.0900091,-118.3617443,Los Angeles County,1,366,West Hollywood,1,Quadrant 1
https://6abc.com/philadelphia-police-charge-suspected-driver-in-street-racing-crash-/5601206/,6abc.com,41.1288481,-74.6868815,Peckville,41.4800379,-75.5774983,Lackawanna County,1,1281,Peckville,1,Quadrant 1
