GPE,Latitude,Longitude,group_ID
Maroochydore Beach,-26.65447,153.1036287,64
Noosa,-26.3645433,152.9676695,65
Rainbow Beach,-25.9045007,153.0897222,66
Hunters Australia,-25.274398,133.775136,67
Australia,-25.274398,133.775136,67
Austraiia,-25.274398,133.775136,67
Queensland,-22.575197,144.0847926,68
Cairns,-16.9203476,145.7709529,69
Bali,-8.4095178,115.188916,70
Raung 58,-8.1258333,114.0458333,71
Papua New Guinea,-6.314992999999999,143.95555,72
Torokina,-6.2448035,155.0419034,73
Bougainville,-6.053602,155.1907309,74
New Guinea,-5.0122202,141.3470159,75
Indonesia,-0.789275,113.921327,76
Singapore,1.352083,103.819836,77
L. Jersey,1.5252662,103.6610018,78
Colombia,4.570868,-74.297333,79
Lagos,6.5243793,3.3792057,80
Costa Rica,9.748917,-83.753428,81
San Juan Del Sur,11.263406,-85.8639766,82
Nha Trang,12.2529152,109.1899018,83
Sudan,12.862807,30.217636,84
Nicaragua,12.865416,-85.207229,85
Philippines,12.879721,121.774017,86
Los Angeles.(Pg,12.9088834,74.9938573,87
Khartoum,15.5006544,32.5598994,88
Mali,17.570692,-3.996166,89
Virgin Islands,18.3333333,-64.75,90
Us Virgin Islands,18.335765,-64.896335,91
Mumbai,19.0759837,72.8776559,92
India,20.593684,78.96288,93
Puerto Vallarta,20.653407,-105.2253316,94
Cuba,21.521757,-77.781167,95
Hong Kong,22.3193039,114.1693611,96
Mexico,23.634501,-102.552784,97
Bangladesh,23.684994,90.356331,98
Fort Lauderdale,26.1224386,-80.13731740000001,99
Palm Beach,26.7056206,-80.0364297,100
Egypt,26.820553,30.802498,101
Jaipur,26.9124336,75.7872709,102
Bhutan,27.514162,90.433601,103
District Fl,27.6648274,-81.5157535,104
The Palm Springs,28.4472647,77.1007152,105
Delhi,28.7040592,77.10249019999999,106
Houston,29.7604267,-95.3698028,107
New Orleans,29.95106579999999,-90.0715323,108
New Orlean,29.95106579999999,-90.0715323,108
New Ega,30.0505753,31.245891,109
Panama City,30.1588129,-85.6602058,110
Pakistan,30.375321,69.34511599999999,111
Israel,31.046051,34.851612,112
Motza,31.794407,35.168509,113
West Bank,31.9465703,35.3027226,114
Mississippi,32.3546679,-89.3985283,115
Jo Drive,32.6291368,-96.8626703,116
San Diego,32.715738,-117.1610838,117
Phoenix,33.4483771,-112.0740373,118
Orange County,33.7174708,-117.8311428,119
Palm Desert,33.7210509,-116.3760455,120
Rancho Mirage,33.739744,-116.41279,121
Palm Springs City Hall,33.824045,-116.5114939,122
Palm Spring,33.8302961,-116.5452921,123
Palm Springs,33.8302961,-116.5452921,123
Palm Springs',33.8302961,-116.5452921,123
Afghanistan,33.93911,67.709953,124
Malibu,34.0380585,-118.6923438,125
La,34.0522342,-118.2436849,126
Los Angeles,34.0522342,-118.2436849,126
Hollywood,34.0928092,-118.3286614,127
Tupelo Beach,34.2576066,-88.7033859,128
Hiroshima,34.3852894,132.4553055,129
Syria,34.80207499999999,38.996815,130
Arkansaw,35.20105,-91.8318334,131
Charlotte,35.2270869,-80.8431267,132
Tokyo,35.6761919,139.6503106,133
Pleasant Park,35.7020037,-78.88552279999999,134
China,35.86166,104.195397,135
Las Vegas,36.171563,-115.1391009,136
Vegas,36.171563,-115.1391009,136
Las!,36.171563,-115.1391009,136
Japan,36.204824,138.252924,137
California,36.778261,-119.4179324,138
Ne• Tum,36.8924433,15.0651945,139
East Beach,36.9275731,-76.1852736,140
America,37.09024,-95.712891,141
The United States,37.09024,-95.712891,141
Catania,37.5078772,15.0830304,142
Richmond,37.5407246,-77.4360481,143
Seoul,37.5518911,126.9917937,144
San Francisco,37.7749295,-122.4194155,145
Kentucky,37.8393332,-84.2700179,146
St Louis',38.6270025,-90.1994042,147
Washington,38.9071923,-77.0368707,148
Washington Dc,38.9071923,-77.0368707,148
Delaware,38.9108325,-75.52766989999999,149
Turkey,38.963745,35.243322,150
Kansas,39.011902,-98.4842465,151
Old City,39.9500455,-75.1438117,152
