GPE,Count,Latitude,Longitude
Onelor,2,25.3764721,55.5128061
Motza,1,31.794407,35.168509
Momlngton MO,1,37.9642529,-91.8318334
Sonora,1,29.2972247,-110.3308814
PHOENIX,1,33.4483771,-112.0740373
Geelong,3,-38.1492994,144.3598426
Vegas,1,36.171563,-115.1391009
fll,1,26.1224386,-80.13731740000001
ataili,1,-8.505541299999999,123.452367
Sonoma,1,38.291859,-122.4580356
Goulburn,1,-34.7567489,149.713629
Olmln l400,1,51.8670254,5.8721896
Malden,1,42.4250964,-71.066163
PANAMA,1,8.537981,-80.782127
f'-Mee\JOOm5eytnotlf2'fO+Hq)C58.lSdU6JMay mi,1,44.3148443,-85.60236429999999
SC,1,33.836081,-81.1637245
ri,1,41.5800945,-71.4774291
Butte,1,46.0038232,-112.5347776
Dreambound,1,37.7813333,-122.4024254
Mghl,1,43.6283242,-79.6491391
He.ivy(BJ,1,51.5128603,-0.128045
Euston,1,51.5280991,-0.1332084
TUPELO BEACH,1,34.2576066,-88.7033859
aghl,1,42.2785217,-88.9787934
PA,1,41.2033216,-77.1945247
Manhattan,1,40.7830603,-73.9712488
WoOonoa,1,-34.3423802,150.9052832
lieelong,1,31.89982,99.79437
ilbnotmilil,1,57.675144,-2.812153
Mt!scamnto,1,41.408969,-75.66241219999999
Hobart,2,-42.8826055,147.3257196
Tht Dominican,1,18.735693,-70.162651
Pl!dto,1,41.9120866,3.1675342
Sc,1,33.836081,-81.1637245
Crescent City,1,41.7557501,-124.2025913
Saint Martins,1,47.0407318,-122.8154094
lurn,1,39.1159478,-77.1820999
Warwick,1,52.28231599999999,-1.584927
Saint Minerva,1,41.8979888,12.4780226
sa.so,1,32.7482643,-97.0463333
ne• tum,1,36.8924433,15.0651945
bJue,1,47.80930009999999,9.2511273
Wyong},1,-33.2843475,151.4249427
Marwick,1,59.1045876,-3.3403778
LA,2,34.0522342,-118.2436849
Bools,1,42.4408344,-76.49535949999999
CA,1,36.778261,-119.4179324
Soll(S,1,46.3598939,11.241014
Meua,1,43.08350679999999,-76.0629519
Navato,1,38.1074198,-122.5697032
ESTADIOMESTALLAlh(8)_CJW,1,39.47466,-0.3585882
London,1,51.5072178,-0.1275862
Mali,1,17.570692,-3.996166
Japan,1,36.204824,138.252924
Philippines,1,12.879721,121.774017
Norway,1,60.47202399999999,8.468945999999999
Los Angeles,1,34.0522342,-118.2436849
San Diego,1,32.715738,-117.1610838
Shortland,2,-32.8797702,151.6937761
Denali,1,63.06916889999999,-151.0069842
Hawaii Flve-0,1,19.8986819,-155.6658568
Britain,1,55.378051,-3.435973
South Wales,1,51.6858341,-3.3821421
New Orleans,1,29.95106579999999,-90.0715323
Los Angeles.(PG,1,12.9088834,74.9938573
SYDNEY,2,-33.8688197,151.2092955
Victoria,1,-36.9847807,143.3906074
Richmond,18,37.5407246,-77.4360481
St Kilda's,1,41.573812,-93.7085556
Port Adelaide,1,-34.8442994,138.505369
Fremantle,1,-32.0517901,115.755096
St Kilda,6,57.83481324783624,-8.56354406037558
Lyon,2,45.764043,4.835659
Sydney,1,-33.8688197,151.2092955
Melbourne,1,-37.8136276,144.9630576
MELBOURNE,1,-37.8136276,144.9630576
Victoria Park,1,-27.4553219,153.0247254
South Warrnambool's,1,-38.3720954,142.4777782
Koroit,4,-38.2921758,142.3673185
South Warrnambool,4,-38.3720954,142.4777782
North Warrnambool,1,-38.3720954,142.4777782
Camperdown,1,-33.88622429999999,151.1791091
Warmambool,1,-38.3720954,142.4777782
Merrivale,1,50.55762199999999,-4.049531
Panmure,1,-36.9011809,174.8570732
Russells Creek,1,-36.34171507511021,149.7011392578551
Warrnambool,13,-38.3720954,142.4777782
Portland,8,45.515232,-122.6783853
Narrawong,1,-38.2533641,141.7088602
Koroit,3,-38.2921758,142.3673185
thei.r,1,22.269919,114.240714
PORTLAND,1,45.515232,-122.6783853
bu incs,1,42.3504997,-71.1053991
Terang,2,-38.2404416,142.9108851
Melbourne,9,-37.8136276,144.9630576
Cooma,1,-36.2345567,149.1270444
Washington DC,1,38.9071923,-77.0368707
Delaware,1,38.9108325,-75.52766989999999
Ukraine,1,48.379433,31.16558
China,1,35.86166,104.195397
Ottawa,1,45.4215296,-75.69719309999999
submer,1,41.480705,2.0239284
US,8,37.09024,-95.712891
Canada,1,56.130366,-106.346771
Newfoundland,1,53.1355091,-57.6604364
Virgin Islands,1,18.3333333,-64.75
US Virgin Islands,3,18.335765,-64.896335
Manhattan,1,40.7830603,-73.9712488
Australia,26,-25.274398,133.775136
