outlet,Mean_Distance,Standard_Deviation
mypaperonline.com,3443.0420237629164,196.66820706424662
xpn.org,296.4333197359099,472.9245475842662
ahherald.com,208.6684259439683,612.3020899938507
insidernj.com,410.49797786816174,963.5302703932068
ukrweekly.com,2508.957905694156,2131.1694949343323
newjerseyglobe.com,365.41673061271575,608.718663136445
princetontv.org,24.838826441017765,
dailyprincetonian.com,1429.0068869103204,1849.1524140065412
1057thehawk.com,5064.675749056803,3971.2448331131723
sojo1049.com,364.204649903964,800.0660168632763
starandwave.com,21.697513969054462,35.45397102760929
whyy.org,648.1133735137055,1452.2751756293494
scoopusanewspaper.com,414.11457548115686,549.1518103620928
wmbctv.com,1913.217495090204,2772.160024996519
mercerme.com,620.7265685249167,552.9134045685264
newjerseyhills.com,417.9243970858168,1043.3646302374748
wsou.net,332.8559643058207,696.0678650628606
thecore.fm,495.8256989728121,829.0991624333982
recordonline.com,411.0243241796732,883.7233651632264
wbcbnews.com,279.6024372265694,594.6956807793132
thepauwwow.org,504.38510494004845,1330.1527723723354
njpen.com,150.88442586714422,540.6435596599067
northjersey.com,617.8229351379756,1050.9388475732756
shorelocalnews.com,637.9407975551677,1253.5993814970866
wjlp3.com,210.46824535831394,367.74784114554205
gujaratdarpan.com,1495.8284495084476,1992.3757302692945
mycommunitysource.com,787.8178476651142,1774.7257971991166
mcccvoice.org,16.103209700324804,11.896311866683764
bluejersey.com,951.2022553446888,1730.133956052119
wurdradio.com,525.024132662838,1093.7596401190654
njbmagazine.com,269.73666289779317,917.9300158180384
facebook.com,1163.2644681034483,1509.662313337307
987thecoast.com,423.58225087912615,1200.585492034111
blogfinger.net,855.874912575425,1589.1817273912889
divyabhaskar.co.in,5860.271354797386,2959.6491875887104
theobservernewark.com,1374.4926798563552,1913.6558999049141
tcnjsignal.net,1621.7962016809727,2118.517891677813
tapon1070.com,1909.4393558494523,2126.4297439882603
posteaglenewspaper.com,1481.8380081104178,1812.8280604080903
patch.com,247.04173669819744,627.8162843383737
jerseyshoreonline.com,781.3900761920024,989.887177052634
theepochtimes.com,3066.079102096631,2725.4574397199194
wobm.com,470.56872716913995,832.284029934748
anointedonline.net,3835.104347413946,448.1680993475705
newtownpress.com,343.54947408507195,860.3973917375251
nj1015.com,181.84673340605417,467.5640393165914
nyc.gov,1554.061376495711,1902.6112779326534
latribunanj.com,1468.8949990867732,2043.0123025680061
moremonmouthmusings.net,604.7054458814293,1672.2122194027916
6abc.com,265.65664008051226,866.7375712898033
thepositivecommunity.com,711.305494487865,1141.3216927096962
mycentraljersey.com,561.2345369211267,1092.1550436009345
