Location,Latitude,Longitude,Count,group_id
Ocean,40.2645806,-74.0420699,1,125.0
East Ward,40.2665738,-74.5200553,1,127.0
West Ward,40.2676034,-74.5255813,1,128.0
East Windsor,40.2677539,-74.5402506,2,129.0
Hightstown,40.2695538,-74.5232089,15,130.0
Lawrence Township,40.2778055,-74.7294313,1,131.0
West Windsor,40.2983262,-74.618634,5,133.0
Lawrenceville,40.3016375,-74.7361013,2,134.0
Monroe Township,40.336419,-74.43304739999999,14,140.0
Hopewell Township,40.343784,-74.8156199,8,142.0
Lambertville,40.36593939999999,-74.94294479999999,50,147.0
South Brunswick,40.3806901,-74.5316938,2,149.0
West Amwell,40.3988892,-74.9074904,12,152.0
Rocky Hill,40.3998283,-74.6343244,3,153.0
Middlesex County,40.4111363,-74.35874729999999,2,156.0
Middlesex County,40.4111363,-74.35874729999999,1,156.0
Middlesex County,40.4111363,-74.35874729999999,54,156.0
Middlesex County,40.4111363,-74.35874729999999,2,156.0
East Brunswick,40.4316955,-74.4049778,20,159.0
Keyport,40.4331631,-74.1995883,9,161.0
Keansburg,40.4417743,-74.1298643,6,163.0
Union Beach,40.4464962,-74.17819879999999,18,164.0
North Brunswick,40.4525163,-74.4766712,2,165.0
Sayreville,40.45940210000001,-74.360846,49,166.0
South Ward,40.4774202,-74.4450139,2,168.0
South Amboy,40.4778838,-74.290702,4,169.0
North Ward,40.4793156,-74.4482041,8,170.0
New Brunswick,40.4862157,-74.4518188,22,171.0
Franklin Township,40.4933734,-74.5228916,2,172.0
Raritan Township,40.50419309999999,-74.89486889999999,4,174.0
Perth Amboy,40.5067723,-74.2654234,20,175.0
South Boundbrook,40.5534364,-74.531544,1,183.0
Woodbridge,40.5575986,-74.2846022,26,185.0
Bound Brook,40.56843629999999,-74.53848889999999,6,187.0
South Plainfield,40.5792701,-74.4115401,3,192.0
Dunellen,40.5892696,-74.4718201,1,193.0
Green Brook,40.6049167,-74.4851659,1,196.0
Lebanon,40.6417683,-74.83599869999999,2,205.0
Roselle,40.6527292,-74.2592769,39,207.0
