Location,Latitude,Longitude,Count,group_id
The United States,40.0583238,-74.4056612,4,100.0
Singh Hirsh Singh,40.0583238,-74.4056612,2,100.0
Singh Dark,40.0583238,-74.4056612,1,100.0
Caliguire,40.0583238,-74.4056612,17,100.0
Mendez,40.0583238,-74.4056612,18,100.0
SizaJohn,40.0583238,-74.4056612,1,100.0
Arvanites,40.0583238,-74.4056612,1,100.0
Florida,40.0583238,-74.4056612,22,100.0
Coronavirus,40.0583238,-74.4056612,5,100.0
Tokyo,40.0583238,-74.4056612,4,100.0
Morning,40.0583238,-74.4056612,1,100.0
Israel,40.0583238,-74.4056612,31,100.0
Griffin,40.0583238,-74.4056612,7,100.0
Grossi,40.0583238,-74.4056612,2,100.0
Revlimid,40.0583238,-74.4056612,2,100.0
Walk,40.0583238,-74.4056612,15,100.0
Washington RELATED,40.0583238,-74.4056612,1,100.0
3rd Ward,40.0583238,-74.4056612,22,100.0
Scutari,40.0583238,-74.4056612,6,100.0
Steinhardt,40.0583238,-74.4056612,4,100.0
Blue Jersey,40.0583238,-74.4056612,31,100.0
Kyrillos,40.0583238,-74.4056612,3,100.0
i.d.,40.0583238,-74.4056612,1,100.0
Meissner,40.0583238,-74.4056612,2,100.0
California,40.0583238,-74.4056612,39,100.0
Mason,40.0583238,-74.4056612,3,100.0
Biden,40.0583238,-74.4056612,8,100.0
Singleton,40.0583238,-74.4056612,5,100.0
the United States of America,40.0583238,-74.4056612,2,100.0
South Dakota,40.0583238,-74.4056612,4,100.0
Beach,40.0583238,-74.4056612,4,100.0
Progressives,40.0583238,-74.4056612,3,100.0
Tedesco,40.0583238,-74.4056612,1,100.0
Flint,40.0583238,-74.4056612,8,100.0
Iraq,40.0583238,-74.4056612,18,100.0
Repollet,40.0583238,-74.4056612,25,100.0
Kentucky,40.0583238,-74.4056612,7,100.0
Barlas,40.0583238,-74.4056612,4,100.0
Taliaferro,40.0583238,-74.4056612,31,100.0
the 3rd Ward,40.0583238,-74.4056612,4,100.0
4th Ward,40.0583238,-74.4056612,4,100.0
Baskerville,40.0583238,-74.4056612,2,100.0
Atlanta,40.0583238,-74.4056612,4,100.0
M.D.,40.0583238,-74.4056612,2,100.0
Arjumand,40.0583238,-74.4056612,1,100.0
the 1st Ward,40.0583238,-74.4056612,1,100.0
Launch,40.0583238,-74.4056612,1,100.0
Onuoha,40.0583238,-74.4056612,5,100.0
Facebook,40.0583238,-74.4056612,6,100.0
Alberta,40.0583238,-74.4056612,2,100.0
Parisi,40.0583238,-74.4056612,10,100.0
Japan,40.0583238,-74.4056612,12,100.0
Zoo,40.0583238,-74.4056612,9,100.0
Smith,40.0583238,-74.4056612,156,100.0
San Juan,40.0583238,-74.4056612,8,100.0
Jim Beach,40.0583238,-74.4056612,1,100.0
Kivvit,40.0583238,-74.4056612,2,100.0
U.S.-Israel,40.0583238,-74.4056612,1,100.0
Pittsburgh,40.0583238,-74.4056612,10,100.0
Missouri,40.0583238,-74.4056612,2,100.0
Idaho,40.0583238,-74.4056612,2,100.0
the Democratic county convention,40.0583238,-74.4056612,2,100.0
Bidens,40.0583238,-74.4056612,4,100.0
Hillstone,40.0583238,-74.4056612,10,100.0
Madden,40.0583238,-74.4056612,4,100.0
Triarico,40.0583238,-74.4056612,2,100.0
TestaNew Jersey’s,40.0583238,-74.4056612,1,100.0
La.,40.0583238,-74.4056612,2,100.0
Surrogate,40.0583238,-74.4056612,3,100.0
Midgette,40.0583238,-74.4056612,2,100.0
New Jerseyan,40.0583238,-74.4056612,3,100.0
New Virginia House,40.0583238,-74.4056612,1,100.0
