Location,Latitude,Longitude,Count
Ireland,40.0583238,-74.4056612,1
East Orange,40.767323,-74.2048677,52
Role,40.0583238,-74.4056612,12
Irvington,40.7263249,-74.22864349999999,19
New York,None,None,381
Delaware,40.4307258,-74.9442585,53
North Carolina,40.0583238,-74.4056612,47
Georgia,40.1873348,-74.2845906,80
Virginia,40.0583238,-74.4056612,18
Connecticut,40.0583238,-74.4056612,50
Massachusetts,40.0583238,-74.4056612,73
South Carolina,40.0583238,-74.4056612,8
Detective Sgt,40.0583238,-74.4056612,13
St. W,40.0583238,-74.4056612,27
Hudson County,40.7453199,-74.05351259999999,138
West New York,40.7878788,-74.0143064,98
This Jersey City,40.7177545,-74.0431435,61
West Orange,40.7985699,-74.23908279999999,28
Driver Hospitaliz,40.0583238,-74.4056612,137
Linden,40.6220478,-74.24459019999999,94
Autism Speaks,40.0583238,-74.4056612,44
the Emil A. Cavallini Middle School,41.0626297,-74.0967577,44
Lyons Park,40.0583238,-74.4056612,40
Paramus,40.9445428,-74.0754189,198
New Jersey Lottery,40.0583238,-74.4056612,43
Bloomfield,40.8067546,-74.1854209,17
Warren County Parents,40.8841854,-74.92087719999999,6
Newa,40.735657,-74.1723667,31
Morris County,40.8336038,-74.54632819999999,166
Killing,40.0583238,-74.4056612,65
Bensalem,40.0583238,-74.4056612,64
PA,40.0583238,-74.4056612,84
Passaic County Driver Ran,41.1231647,-74.35874729999999,26
PD,40.0583238,-74.4056612,26
Joyanne,40.0583238,-74.4056612,35
Englewood,40.8928771,-73.9726381,106
Dumont,40.9406541,-73.9968051,135
Del Rio,40.0583238,-74.4056612,13
Texas,39.9426129,-74.93405589999999,30
San Antonio,40.0583238,-74.4056612,13
Mississippi,40.0583238,-74.4056612,14
Laughlin,40.0583238,-74.4056612,13
NJSP,40.0583238,-74.4056612,4
New Brunswick,40.4862157,-74.4518188,21
New Jersey State,40.0583238,-74.4056612,102
Chalfont,40.0583238,-74.4056612,4
Jharkhand,40.0583238,-74.4056612,4
India,40.0583238,-74.4056612,8
New Jersey',40.0583238,-74.4056612,51
Seattle,40.0583238,-74.4056612,34
Suffolk County,None,None,24
St. Hubert's Lifestyle Content Partnership Highclere Castle Gin Evokes,40.0583238,-74.4056612,4
Jefferson,41.0029893,-74.5580454,33
Indiana,40.0583238,-74.4056612,122
Manhattan,None,None,171
Jersey City Attack,40.7177545,-74.0431435,49
Sayreville,40.45940210000001,-74.360846,43
Secaucus,40.7895453,-74.05652979999999,159
Zs,40.0583238,-74.4056612,7
Cureton,40.0583238,-74.4056612,36
Paterson City,40.9167654,-74.17181099999999,41
Incca Village,40.0583238,-74.4056612,53
Union City,40.7795455,-74.02375119999999,75
Westwood,40.9912087,-74.0326395,27
Hunterdon County Superior Court,40.5125498,-74.8606212,17
Jersey City Driver,40.7177545,-74.0431435,12
Milwaukee,40.0583238,-74.4056612,6
Wisconsin,40.0583238,-74.4056612,6
Jersey City:,40.7177545,-74.0431435,66
Oji,40.0583238,-74.4056612,57
Bergen,40.9262762,-74.07701,33
Rockaway,40.9012101,-74.51432319999999,18
Jersey City's,40.7177545,-74.0431435,22
Cyndia,40.9077224,-74.2064437,14
Tobin,40.0583238,-74.4056612,50
Oakland,41.0131529,-74.26431430000001,194
Vreeland,None,None,34
Villanova Heights,40.0583238,-74.4056612,45
East Rutherford,40.833989,-74.0970865,54
Warren Hills,40.7549302,-74.9910112,39
N,40.0583238,-74.4056612,19
Union Township,40.6975898,-74.26316349999999,33
NJDOC,40.0583238,-74.4056612,31
Garfield,40.8814882,-74.113198,51
Lola,40.0583238,-74.4056612,48
Paragon,40.0583238,-74.4056612,27
U.S,40.0583238,-74.4056612,27
Essex County,40.7947466,-74.2648829,31
The United States,40.0583238,-74.4056612,5
Wayne,40.92537249999999,-74.2765441,41
Kearny,40.7684342,-74.1454214,41
Florida,40.0583238,-74.4056612,64
USA,40.0583238,-74.4056612,167
Armand,40.0583238,-74.4056612,14
MD,40.0583238,-74.4056612,86
Permanency,40.0583238,-74.4056612,37
Sparta,41.0360345,-74.63672559999999,30
Washington,40.7584326,-74.9793378,53
St. Moritz,40.0583238,-74.4056612,2
Henderson,None,None,4
New York State Police,40.0583238,-74.4056612,2
Jersey City Mom,40.7177545,-74.0431435,12
Mine Hill,40.8778768,-74.5937701,35
Parsippany,40.8652865,-74.41738769999999,184
Francois,40.0583238,-74.4056612,1
Saddle Brook,40.9040085,-74.10073179999999,56
Sussex County,41.1288481,-74.6868815,179
NJ,40.0583238,-74.4056612,20
Rockland,None,None,50
Alpine,40.9559316,-73.9312478,27
Newburgh,None,None,3
Passaic County,41.1231647,-74.35874729999999,200
Woodland Park,40.8898212,-74.19486739999999,38
Chadwick,40.0583238,-74.4056612,24
Dichio,40.0583238,-74.4056612,28
Meridia,None,None,40
Bergen County's,40.9262762,-74.07701,55
Dare County,40.0583238,-74.4056612,10
D.C.,40.0583238,-74.4056612,22
Wynantsville,None,None,10
Duck,40.0583238,-74.4056612,10
Albany,40.001501,-74.9712804,10
Rensselaer County,None,None,10
Englewood Cliffs,40.88537729999999,-73.9523597,17
Jersey,40.7177545,-74.0431435,69
Moshe Deutsh,40.0583238,-74.4056612,31
Bergenfield Jersey City Detective,40.7177545,-74.0431435,3
Thrillist,40.0583238,-74.4056612,11
California,40.0583238,-74.4056612,63
Chicago,40.0583238,-74.4056612,16
Honolulu,40.0583238,-74.4056612,11
Boston,40.0583238,-74.4056612,11
Dallas,40.0583238,-74.4056612,11
Kenilworth,40.6764911,-74.2907032,94
Denver,40.8923212,-74.47737750000002,41
Dover,40.883988,-74.5621025,163
Canada,40.0583238,-74.4056612,142
FedEx,40.0583238,-74.4056612,28
Queens,None,None,11
N.Y.,None,None,25
Jaremy Vazquez,40.0583238,-74.4056612,10
Brooklyn,39.69317119999999,-74.9426662,383
Ohio,40.0583238,-74.4056612,43
Kentucky,40.0583238,-74.4056612,11
San Mariano,40.0583238,-74.4056612,15
Passaic County's,41.1231647,-74.35874729999999,52
Ramsey,41.0573188,-74.1409771,23
Ridgewood,40.9792645,-74.11653129999999,15
Kinchley,41.0777233,-74.1386945,38
Miami,39.0345573,-74.93684,11
Hamburg,41.1534294,-74.5762713,61
Hardyston Township,41.11370369999999,-74.5540506,35
Stockholm,41.0988469,-74.5315328,35
New Jersey Hackensack's,40.8859325,-74.0434736,6
Bergen County Moms Do It Again,40.9262762,-74.07701,22
Bergen County Mom's,40.9262762,-74.07701,22
Ursula,40.0583238,-74.4056612,22
Sussex County Burglaries,41.1288481,-74.6868815,1
Milford,40.5687128,-75.09461689999999,2
Wantage,41.256843,-74.6166192,16
Herald,40.0583238,-74.4056612,1
McDonough,None,None,1
Hunterdon County Acting,40.56695149999999,-74.92087719999999,8
Moonwalk,40.0583238,-74.4056612,48
Poland,None,None,6
Lezajsk,40.0583238,-74.4056612,2
Andover,40.98593109999999,-74.74210889999999,37
Stephen,40.0583238,-74.4056612,1
New Jersey Welcome,39.9652553,-74.3118212,35
Buchan,40.0583238,-74.4056612,328
Salumeria,40.0583238,-74.4056612,22
Suspected,40.0583238,-74.4056612,39
Tuxedo,None,None,28
Sloatsburg,None,None,28
"Hudson, Union",40.6930235,-74.2900177,8
Essex,40.7947466,-74.2648829,10
Washington Township Stabbing,39.7561387,-75.07279559999999,8
Italy,None,None,38
Qdoba,40.0583238,-74.4056612,8
Cecilia,40.0583238,-74.4056612,149
South Street,40.0583238,-74.4056612,2
St. Hubert's Lifestyle 1 12/12/2019,40.4587602,-74.4695559,1
Nutley,40.8223168,-74.15987249999999,5
Wakefield,40.0583238,-74.4056612,4
the Essex County Detention Center,40.7444797,-74.1822631,11
Mexico,None,None,40
Bloomingdale,41.002042,-74.3265388,3
Capone,40.0583238,-74.4056612,3
Bergen Cou,40.9262762,-74.07701,13
Bergen County Wrestler,40.9262762,-74.07701,28
