GPE,Count,Latitude,Longitude,group_ID,GPE_new,Discrepancy
T.Ste,1,38.867344,-77.01340499999999,239,Washington,1
45616 LAYISHTHINKERw(l,1,38.8199214,-83.357567,238,Ohio,1
PGav,2,38.6273496,-90.1887947,237,St. Louis,1
St Louis',1,38.6270025,-90.1994042,236,St. Louis,1
S.iicramenlo,1,38.5815719,-121.4943996,235,Sacramento,1
Navato,1,38.1074198,-122.5697032,233,Novato,1
acros,1,38.0186856,-87.52110800000001,232,Evansville,1
Momlngton MO,1,37.9642529,-91.8318334,231,Missouri,1
Dreambound,1,37.7813333,-122.4024254,229,San Francisco,1
RICHMOND,1,37.5407246,-77.4360481,226,Richmond,1
Tenn,1,35.5174913,-86.5804473,208,Tennessee,1
Arkansaw,1,35.20105,-91.8318334,205,Arkansas,1
Virgin Islands,1,18.3333333,-64.75,135,United States Virgin Islands,1
Logans Beach,1,26.0134498,-80.11567749999999,152,Hollywood,1
edlhnleW1de,1,28.7040592,77.10249019999999,165,Delhi,1
Choclyn,1,28.6942427,77.1290788,164,Delhi,1
Golden Triangle Delhi,1,28.65032219999999,77.200356,163,Delhi,1
territo­,1,28.5627386,-81.5565432,162,Florida,1
Mool­,1,28.4976638,77.085563,161,Gurugram District,1
the Palm Springs,1,28.4472647,77.1007152,160,Gurugram District,1
DISTRICT FL,1,27.6648274,-81.5157535,159,Florida,1
Bhutan,1,27.514162,90.433601,158,Bji Saengbji,1
EGYPT,1,26.820553,30.802498,155,New Valley,1
Egypt,1,26.820553,30.802498,155,New Valley,1
Egypt,2,26.820553,30.802498,155,New Valley,1
Egypt,2,26.820553,30.802498,155,New Valley,1
Palm Beach's,1,26.7056206,-80.0364297,154,Palm Beach,1
fll,1,26.1224386,-80.13731740000001,153,Fort Lauderdale,1
Onelor,2,25.3764721,55.5128061,150,Ajman,1
Syria,2,34.80207499999999,38.996815,204,Homs Governorate,1
Bangladesh,1,23.684994,90.356331,148,Keraniganj,1
Mexico,2,23.634501,-102.552784,147,Zacatecas,1
differenl,1,23.1261837,113.2471997,146,Liwan District,1
Hong Kong,1,22.3193039,114.1693611,145,Kowloon,1
Hong Kong,4,22.3193039,114.1693611,145,Kowloon,1
thei.r,1,22.269919,114.240714,144,Hong Kong Island,1
Cuba,1,21.521757,-77.781167,143,Camagüey,1
Cun,1,21.0417033,-86.8740062,142,Quintana Roo,1
India,3,20.593684,78.96288,140,Hirdi,1
India,3,20.593684,78.96288,140,Hirdi,1
INDIA,1,20.593684,78.96288,140,Hirdi,1
Hawaii Flve-0,1,19.8986819,-155.6658568,139,Hawaii,1
MUMBAI,1,19.0759837,72.8776559,138,Mumbai,1
Tht Dominican,1,18.735693,-70.162651,137,Yamasá,1
New Orlean,1,29.95106579999999,-90.0715323,168,New Orleans,1
New EGA,1,30.0505753,31.245891,169,Cairo,1
New EGA,1,30.0505753,31.245891,169,Cairo,1
Pakistan,1,30.375321,69.34511599999999,171,Balochistan,1
TUPELO BEACH,1,34.2576066,-88.7033859,202,Tupelo,1
Hollywood,3,34.0928092,-118.3286614,201,Los Angeles,1
LA,2,34.0522342,-118.2436849,200,Los Angeles,1
LA,1,34.0522342,-118.2436849,200,Los Angeles,1
Afghanistan,2,33.93911,67.709953,198,Ghazni Province,1
Brookwood,1,33.8836398,-84.0400713,197,Georgia,1
wfll,1,33.8617448,-117.9424723,196,Fullerton,1
wtll!w\,1,33.8514737,-118.3704803,195,Torrance,1
SC,1,33.836081,-81.1637245,194,South Carolina,1
Sc,1,33.836081,-81.1637245,194,South Carolina,1
Palm Springs',2,33.8302961,-116.5452921,193,Palm Springs,1
"Palm prings).""Everybody",1,33.8302961,-116.5452921,193,Palm Springs,1
Palm Spring,1,33.8302961,-116.5452921,193,Palm Springs,1
Palm Springs City Hall,1,33.824045,-116.5114939,192,Palm Springs,1
Palm Desert's,1,33.7210509,-116.3760455,190,Palm Desert,1
Orange County,1,33.7174708,-117.8311428,188,Tustin,1
tltis,1,33.5708827,-7.677872499999999,187,arrondissement de Hay Hassani مقاطعة الحي الحسني,1
PHOENIX,1,33.4483771,-112.0740373,186,Phoenix,1
Wl!ltOK«l!llHll­,1,33.09671,-89.077203,185,Louisville,1
Jfranklin,1,32.8705226,-83.6608622,184,Macon,1
Llrving,1,32.8140177,-96.9488945,183,Irving,1
sa.so,1,32.7482643,-97.0463333,182,Arlington,1
Mississippi,1,32.3546679,-89.3985283,178,Lake,1
north­,1,32.325113,-110.9283994,177,Tucson,1
West Bank,3,31.9465703,35.3027226,176,Taybeh,1
lieelong,1,31.89982,99.79437,175,Sichuan,1
Motza,1,31.794407,35.168509,174,Jerusalem,1
Wanong,1,31.06993,95.90786,173,Lhorong County,1
Israel,1,31.046051,34.851612,172,Ramat Negev Regional Council,1
Queens,5,40.7282239,-73.7948516,261,New York,1
Queens,2,40.7282239,-73.7948516,261,New York,1
Queens,1,40.7282239,-73.7948516,261,New York,1
WOOiey,1,51.2097555,-2.6912839,352,Wookey,1
B.Barry 2,1,52.1277623,-8.2895635,365,Ireland,1
Olmln l400,1,51.8670254,5.8721896,362,Nijmegen,1
South Wales,1,51.6858341,-3.3821421,361,Mountain Ash,1
South Wales,2,51.6858341,-3.3821421,361,Mountain Ash,1
South Wales,1,51.6858341,-3.3821421,361,Mountain Ash,1
Euston,1,51.5280991,-0.1332084,360,London,1
He.ivy(BJ,1,51.5128603,-0.128045,359,London,1
LONDON,1,51.5072178,-0.1275862,358,London,1
Mortlake,2,51.4687363,-0.2627417,357,London,1
Mortlake,5,51.4687363,-0.2627417,357,London,1
ang Mortlake,1,51.4687363,-0.2627417,357,London,1
Blackheath,2,51.4658393,0.0090338,356,London,1
SofITT,1,51.4287737,-2.6334927,355,Bristol,1
hellekens,1,51.3791407,5.252299,354,Hapert,1
Penshurst,3,51.1727246,0.1824358,351,Sevenoaks,1
Queens­,1,40.7282239,-73.7948516,261,New York,1
Germany,1,51.165691,10.451526,350,Vogtei,1
Broadwater,1,50.8284525,-0.3745477,349,Worthing,1
Chesll Beach,1,50.6266703,-2.5605472,347,Langton Herring,1
Chesll Beach.(2017,1,50.6266703,-2.5605472,347,Langton Herring,1
Chesll Beach,1,50.6266703,-2.5605472,347,Langton Herring,1
Hcale ville,1,50.6045194,-1.3184195,346,Chale,1
Dart­ moor,1,50.5718857,-3.9206884,345,West Devon,1
Merrivale,1,50.55762199999999,-4.049531,344,West Devon,1
Merrivale,1,50.55762199999999,-4.049531,344,West Devon,1
Princetown,1,50.5440793,-3.9904538,343,West Devon,1
Wurzburg,1,49.79130439999999,9.9533548,339,Würzburg,1
Guernsey,1,49.4481982,-2.58949,338,Castel,1
amecourt,1,49.380192,1.731205,337,Amécourt,1
Rothenburg,1,49.3801834,10.1867388,336,Rothenburg ob der Tauber,1
Holland,2,52.132633,5.291265999999999,366,Soest,1
GoodC,1,52.2471366,21.0632676,367,Warsaw,1
Dennington,2,52.253926,1.3393709,368,East Suffolk,1
Tassie,1,52.3637788,4.886993599999999,371,Amsterdam,1
Denali,1,63.06916889999999,-151.0069842,404,Alaska,1
Denali,1,63.06916889999999,-151.0069842,404,Alaska,1
Russia,3,61.52401,105.318756,403,Krasnoyarsk Krai,1
Russia,1,61.52401,105.318756,403,Krasnoyarsk Krai,1
RUSSIA,1,61.52401,105.318756,403,Krasnoyarsk Krai,1
Marwick,1,59.1045876,-3.3403778,399,Birsay,1
St Kilda,1,57.83481324783624,-8.56354406037558,398,Scotland,1
St Kilda,6,57.83481324783624,-8.56354406037558,398,Scotland,1
St KJkta,1,57.83481324783624,-8.56354406037558,398,Scotland,1
St Kilda,4,57.83481324783624,-8.56354406037558,398,Scotland,1
ilbnotmilil,1,57.675144,-2.812153,396,Lintmill,1
Ounkeld,1,56.5676532,-3.5862204,394,Dunkeld,1
Scotland,1,56.49067119999999,-4.2026458,393,Ardeonaig,1
Canada,1,56.130366,-106.346771,392,Unorganized Division No. 18,1
Canada,2,56.130366,-106.346771,392,Unorganized Division No. 18,1
Britain,1,55.378051,-3.435973,390,Moffat,1
Britain,2,55.378051,-3.435973,390,Moffat,1
M.Monaghan,1,54.2492434,-6.9683082,387,Ireland,1
Kavanas,1,53.9897186,-7.3633319,386,Cavan,1
Yorkshire,1,53.9590858,-1.0792403,384,York,1
Yorkshire,1,53.9590858,-1.0792403,384,York,1
Manitoba,4,53.7608608,-98.8138763,383,Unorganized Division No. 21,1
Belarus,1,53.709807,27.953389,382,Дукорскі сельскі Савет,1
B.Jenkinson,1,53.6924621,-1.6311384,381,Kirklees,1
Jubilee Park,1,53.1557403,-0.2215658,378,East Lindsey,1
Newfoundland,1,53.1355091,-57.6604364,377,Newfoundland and Labrador,1
"53,9",1,52.9995357,9.0026872,376,Achim,1
Edgbaston,1,52.4553184,-1.9040926,372,Birmingham,1
Edgbaston,2,52.4553184,-1.9040926,372,Birmingham,1
Jersey,3,49.2137711,-2.1357662,334,Saint Lawrence,1
Jersey,3,49.2137711,-2.1357662,334,Saint Lawrence,1
Haintz,1,48.69591519999999,10.054238,331,Steinheim am Albuch,1
Meua,1,43.08350679999999,-76.0629519,294,Town of De Witt,1
Albany,2,42.6525793,-73.7562317,291,City of Albany,1
Bools,1,42.4408344,-76.49535949999999,289,City of Ithaca,1
Malden SW,10,42.4250964,-71.066163,288,Malden,1
Malden SW,1,42.4250964,-71.066163,288,Malden,1
Htl'M'.9)Ma',1,42.4072107,-71.3824374,287,Sudbury,1
